source,target,id,weight,class,prod
745,1276,1500,10,기계제작1,NA
630,1239,719,8,,
630,932,1186,8,금속자재,부품
704,848,394,8,간판및광고물,명판
16,1305,1723,6,기계제작3,NA
44,1313,3944,6,기계제작3,NA
648,1266,1990,6,금속제품,금속
672,795,347,6,기계장비,공구
672,1240,566,6,,
672,954,681,6,금속자재,스테인리스
672,821,736,6,금속자재,금속
672,896,1355,6,금속자재,"볼트,너트"
1327,1271,4361,6,기계제작1,NA
1327,1286,4362,6,용접,NA
1327,1014,4363,6,건축자재,인테리어제품
1327,1083,4364,6,금속자재,철
1327,821,4365,6,금속자재,금속
1327,954,4366,6,금속자재,스테인리스
1327,1009,4367,6,건축자재,인테리어제품
1327,780,4368,6,간판및광고물,간판
1327,1280,4357,6,기계제작1,NA
1327,1279,4358,6,기계제작1,NA
1327,1294,4359,6,용접,NA
1327,1272,4360,6,기계제작1,NA
105,1270,1791,5,기계제작1,NA
136,1278,4013,5,기계제작1,NA
418,1093,2218,5,케이스,케이스
510,1093,191,5,케이스,케이스
672,1328,4381,5,,NA
672,1306,1559,5,,NA
672,1311,1799,5,,NA
672,1266,1988,5,기계제작1,NA
672,1319,4027,5,,NA
672,1274,4232,5,기계제작1,NA
678,1306,1562,5,,NA
678,1328,4386,5,,NA
745,1268,1974,5,기계제작1,NA
745,1284,3714,5,기계제작2,NA
36,1331,4405,4,기계제작2,NA
36,1306,4053,4,인쇄,NA
49,1313,3943,4,기계제작3,NA
59,1298,1820,4,인쇄,NA
59,1277,1934,4,기계제작2,NA
59,1273,1935,4,기계제작1,NA
92,1305,1724,4,기계제작3,NA
110,1331,4417,4,기계제작2,NA
110,1317,3841,4,,NA
128,1309,1637,4,,NA
128,1277,1932,4,기계제작2,NA
128,1273,1933,4,기계제작1,NA
227,848,2565,4,간판및광고물,명판
227,1229,2656,4,,
269,1302,3929,4,후처리2,NA
299,848,414,4,간판및광고물,명판
299,958,772,4,플라스틱자재,아크릴
299,964,823,4,비철금속자재,알루미늄
331,848,2532,4,간판및광고물,명판
331,958,2959,4,플라스틱자재,아크릴
331,964,2998,4,비철금속자재,알루미늄
359,1282,3880,4,기계제작2,NA
458,848,399,4,간판및광고물,명판
471,1284,3701,4,기계제작2,NA
475,1274,1656,4,기계제작2,NA
513,848,382,4,간판및광고물,명판
513,1229,505,4,,
520,1266,1997,4,금속제품,금속
537,1267,1597,4,금속제품,비금속
538,1276,1503,4,기계제작2,NA
539,848,2534,4,간판및광고물,명판
543,1276,1499,4,기계제작2,NA
543,1272,1890,4,기계제작1,NA
543,1277,1918,4,기계제작2,NA
543,1273,1919,4,기계제작1,NA
546,1284,3707,4,기계제작2,NA
546,1331,4414,4,기계제작2,NA
546,1280,4116,4,기계제작1,NA
569,1294,1711,4,후처리2,NA
572,1266,2332,4,금속제품,금속
580,857,354,4,건축자재,목제품
580,958,768,4,플라스틱자재,아크릴
618,1229,503,4,,
624,964,824,4,비철금속자재,알루미늄
632,1245,279,4,,
632,1014,1457,4,건축자재,인테리어제품
650,821,738,4,금속자재,금속
650,1083,1214,4,금속자재,철
656,869,806,4,박스,박스
656,959,1411,4,플라스틱자재,아크릴
658,1243,375,4,,
658,1229,499,4,,
665,1286,1759,4,용접,NA
665,1294,3969,4,용접,NA
666,780,209,4,간판및광고물,간판
666,1083,1216,4,금속자재,철
667,1058,66,4,조명및전구,조명제품
667,1060,97,4,조명및전구,조명제품
667,1164,127,4,전자전기제품,회로
667,1276,1505,4,기계제작2,NA
667,1300,2013,4,회로설계,NA
667,1284,3723,4,기계제작2,NA
667,1308,4259,4,회로설계,NA
677,1012,1013,4,건축자재,인테리어제품
677,1014,1442,4,건축자재,인테리어제품
686,932,1185,4,금속자재,부품
696,1266,2006,4,금속제품,금속
713,1256,587,4,,
713,954,686,4,금속자재,스테인리스
713,821,744,4,금속자재,금속
713,964,834,4,비철금속자재,알루미늄
713,1286,1751,4,용접,NA
713,1311,1804,4,,NA
