source,target,class,prod,strength
2,820,금속자재,금속,1
2,815,금속제품,귀금속,1
2,817,금속제품,귀금속,1
2,863,박스,박스,1
2,1096,케이스,케이스,1
3,995,기계장비,의료,1
3,1002,기계장비,의료,1
3,1003,기계장비,의료,1
3,1005,기계장비,의료,1
3,765,전기전자제품,가전제품(전기전자제품),1
3,768,전기전자제품,가전제품(전기전자제품),1
3,1168,,,1
3,1169,,,1
4,1133,전기전자자재,퓨즈(휴즈),1
4,754,전기전자제품,가전제품(전기전자제품),1
4,758,전기전자제품,가전제품(전기전자제품),1
4,760,전기전자제품,가전제품(전기전자제품),1
4,764,전기전자제품,가전제품(전기전자제품),1
4,771,전기전자제품,가전제품(전기전자제품),1
4,1090,전기전자제품,컨버터및인버터,1
5,1107,금속자재,팬,1
5,994,기계장비,의료,1
5,996,기계장비,의료,1
5,1000,기계장비,의료,1
5,1002,기계장비,의료,1
5,1187,,,1
5,1174,,,1
5,1178,,,1
6,1107,금속자재,팬,1
6,1108,금속자재,팬,1
6,1110,금속자재,팬,1
6,998,기계장비,의료,1
6,1001,기계장비,의료,1
6,1274,기계제작2,NA,1
6,1278,부품제작,NA,1
6,1292,후처리2,NA,1
7,817,금속제품,귀금속,1
7,1058,조명및전구,조명제품,1
7,1060,조명및전구,조명제품,1
8,994,기계장비,의료,1
8,807,기계장비,과학용품,1
8,995,기계장비,의료,1
8,1002,기계장비,의료,1
8,1003,기계장비,의료,1
8,1005,기계장비,의료,1
8,765,전기전자제품,가전제품(전기전자제품),2
8,1058,조명및전구,조명제품,1
8,1060,조명및전구,조명제품,1
9,994,기계장비,의료,1
9,996,기계장비,의료,1
9,1002,기계장비,의료,1
9,1058,조명및전구,조명제품,1
9,1059,조명및전구,조명제품,1
9,1060,조명및전구,조명제품,1
10,780,간판및광고물,간판,1
10,814,금속제품,귀금속,1
10,815,금속제품,귀금속,1
10,816,금속제품,귀금속,1
10,817,금속제품,귀금속,1
10,1058,조명및전구,조명제품,1
10,1060,조명및전구,조명제품,1
11,765,전기전자제품,가전제품(전기전자제품),1
11,1058,조명및전구,조명제품,1
11,1060,조명및전구,조명제품,1
11,1326,조명및전구,조명제품,1
12,765,전기전자제품,가전제품(전기전자제품),1
12,1058,조명및전구,조명제품,1
12,1060,조명및전구,조명제품,1
12,1326,조명및전구,조명제품,1
13,996,기계장비,의료,1
13,1058,조명및전구,조명제품,1
13,1060,조명및전구,조명제품,1
13,1326,조명및전구,조명제품,1
14,994,기계장비,의료,1
14,1003,기계장비,의료,1
14,1005,기계장비,의료,1
14,765,전기전자제품,가전제품(전기전자제품),2
14,1058,조명및전구,조명제품,1
14,1060,조명및전구,조명제품,1
14,1068,조명및전구,조명제품,1
14,1029,조명및전구,전구,1
14,1030,조명및전구,전구,1
14,1031,조명및전구,전구,1
14,1032,조명및전구,전구,1
14,1326,조명및전구,조명제품,1
15,765,전기전자제품,가전제품(전기전자제품),1
15,1058,조명및전구,조명제품,1
15,1060,조명및전구,조명제품,1
15,1080,조명및전구,조명제품,1
16,878,금속자재,베어링,1
16,806,기계장비,과학용품,1
16,807,기계장비,과학용품,1
16,809,기계장비,과학용품,1
16,810,기계장비,과학용품,1
16,811,기계장비,과학용품,1
16,1305,기계제작3,NA,6
16,773,전기전자제품,가전제품(전기전자제품),1
17,994,기계장비,의료,1
17,1002,기계장비,의료,1
17,1003,기계장비,의료,1
17,765,전기전자제품,가전제품(전기전자제품),1
17,1164,전자전기제품,회로,1
17,1308,회로설계,NA,1
18,1164,전자전기제품,회로,1
18,1058,조명및전구,조명제품,1
18,1060,조명및전구,조명제품,1
19,815,금속제품,귀금속,1
19,817,금속제품,귀금속,1
19,865,박스,박스,1
20,953,금속자재,스테인리스,1
20,817,금속제품,귀금속,1
20,863,박스,박스,1
20,864,박스,박스,1
20,964,비철금속자재,알루미늄,1
21,816,금속제품,귀금속,1
21,817,금속제품,귀금속,1
22,754,전기전자제품,가전제품(전기전자제품),1
22,758,전기전자제품,가전제품(전기전자제품),1
22,760,전기전자제품,가전제품(전기전자제품),1
22,764,전기전자제품,가전제품(전기전자제품),1
22,771,전기전자제품,가전제품(전기전자제품),1
22,1095,케이스,케이스,1
23,807,기계장비,과학용품,1
23,808,기계장비,과학용품,1
23,1055,전기전자자재,전선,1
23,767,전기전자제품,가전제품(전기전자제품),1
23,773,전기전자제품,가전제품(전기전자제품),1
23,754,전기전자제품,가전제품(전기전자제품),1
24,807,기계장비,과학용품,1
24,810,기계장비,과학용품,1
25,807,기계장비,과학용품,1
25,994,기계장비,의료,1
25,1002,기계장비,의료,1
25,1003,기계장비,의료,1
25,765,전기전자제품,가전제품(전기전자제품),1
26,978,건축자재,위생용도자기,1
26,994,기계장비,의료,1
26,996,기계장비,의료,1
26,1000,기계장비,의료,1
26,1002,기계장비,의료,1
27,994,기계장비,의료,1
27,807,기계장비,과학용품,1
27,995,기계장비,의료,1
27,1002,기계장비,의료,1
27,1003,기계장비,의료,1
27,1005,기계장비,의료,1
27,1133,전기전자자재,퓨즈(휴즈),1
27,765,전기전자제품,가전제품(전기전자제품),2
27,1090,전기전자제품,컨버터및인버터,1
28,793,기계장비,공구,1
28,794,기계장비,공구,1
28,773,전기전자제품,가전제품(전기전자제품),1
29,793,기계장비,공구,1
29,794,기계장비,공구,1
29,799,기계장비,공구,1
29,800,기계장비,공구,1
29,773,전기전자제품,가전제품(전기전자제품),1
30,1020,금속제품,자석,1
31,848,간판및광고물,명판,3
31,1020,금속제품,자석,1
31,1273,기계제작1,NA,1
31,1277,기계제작2,NA,1
31,1298,인쇄,NA,1
31,1309,,NA,1
32,1020,금속제품,자석,1
33,1020,금속제품,자석,1
33,1025,금속제품,자석,1
33,1026,금속제품,자석,1
33,988,유리자재,유리,1
34,1331,기계제작2,NA,1
34,988,유리자재,유리,1
34,1306,인쇄,NA,1
34,1093,케이스,케이스,3
34,1167,,,1
34,1317,,NA,1
36,848,간판및광고물,명판,2
36,1128,간판및광고물,표지판,2
36,1331,기계제작2,NA,4
36,1306,인쇄,NA,4
36,1093,케이스,케이스,2
36,958,플라스틱자재,아크릴,2
37,917,금속자재,부품,1
37,1040,전기전자자재,전선,1
37,1044,전기전자자재,전선,1
37,1045,전기전자자재,전선,1
37,1054,전기전자자재,전선,1
37,1058,조명및전구,조명제품,1
